E_i	M_i	A(t)
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-1.96	0.99	0.0025
-1.98	0.995	0.0075
-1.98	0.995	0
-2	1	0.0025
-2	1	0
-2	1	0.005
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-1.97	0.99	0.0025
-2	1	0.005
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-2	1	0.0025
-1.98	0.995	0.0025
-2	1	0.0075
-2	1	0
-1.98	0.995	0.0025
-1.96	0.99	0.0025
-1.98	0.995	0.0025
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0.005
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-2	1	0.0025
-2	1	0
-1.98	0.995	0.0025
-1.98	0.995	0
-1.98	0.995	0
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0.005
-1.98	0.995	0.0025
-1.98	0.995	0
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-1.98	0.995	0
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-2	1	0.0025
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-1.98	0.995	0
-1.98	0.995	0
-2	1	0.0025
-1.98	0.995	0.0025
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-2	1	0.0025
-2	1	0
-1.98	0.995	0.0025
-1.98	0.995	0.005
-1.98	0.995	0
-2	1	0.0025
-2	1	0
-1.98	0.995	0.0075
-1.98	0.995	0
-1.98	0.995	0
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0.005
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0.005
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-2	1	0.0025
-2	1	0
-2	1	0
-1.96	0.99	0.005
-1.96	0.99	0
-2	1	0.005
-2	1	0
-2	1	0
-2	1	0
-2	1	0.005
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0.005
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.96	0.99	0.005
-1.98	0.995	0.0025
-1.98	0.995	0
-2	1	0.0075
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-1.96	0.99	0.0025
-1.96	0.99	0
-1.98	0.995	0.0025
-1.98	0.995	0
-1.97	0.99	0.0075
-2	1	0.005
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-1.98	0.995	0
-1.97	0.99	0.0025
-1.98	0.995	0.0025
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-1.98	0.995	0
-1.98	0.995	0
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0.005
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-1.98	0.995	0
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0.005
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0.005
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0.005
-2	1	0
-2	1	0
-1.98	0.995	0.0025
-1.95	0.985	0.005
-1.98	0.995	0.005
-1.98	0.995	0
-1.98	0.995	0.005
-1.98	0.995	0
-2	1	0.0025
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
-2	1	0
